build,stage,version,alive_mean,alive_median,alive_p90,alive_p95,alive_p99,alive_peak,below_five_seconds,clear,close120_mean,close120_median,close120_p90,close120_p95,close120_p99,close120_peak,cpu_ms_mean,cpu_ms_median,cpu_ms_p90,cpu_ms_p95,cpu_ms_p99,cpu_ms_peak,death,draw_calls,effective_hp_dps,enemy_projectile_peak,engagement200_rate,frame_ms_mean,frame_ms_median,frame_ms_p90,frame_ms_p95,frame_ms_p99,frame_ms_peak,hp_loss,illegal_spawns,kill_rate,longest_dead_air,movement,player_projectile_peak,seconds,shots,simple_ratio,spawn_rate,vfx_peak,arrival_sides_0,arrival_sides_1,arrival_sides_2,arrival_sides_3,including_cold_max_ms,overlap_peak,path_queries,reinforcement_with_survivors,spawn_path_queries,stuck_seconds_peak
B,27,final,24.8459770114943,25,35,39,46,48,1.53784503703703,True,4.35862068965517,3,10,11,13,14,1.86086658989966,1.784,2.625,2.858,3.179,3.179,False,0.0,28.5091533180779,0,10.2419408589012,6.90031238690571,6.898,8.996,9.399,10.161,15.599,0.0,0,11.2194796827442,0.508567703703697,5483.14214372635,28,45.011,711,0.678571428571429,11.8193330519206,5,60,124,205,143,15.599,2,5843,33,532,0.727398666666675
B,28,baseline,3.70506912442396,4,7,8,10,10,25.3586364444444,True,0.5,0,2,2,3,4,1.38357662776413,1.014,1.41,1.857,13.028,13.028,False,0.0,8.3559148860557,0,2.57651814668384,6.9000288697789,6.899,7.58,7.747,8.308,13.354,0.0,0,2.90968859668606,10.144016,4238.66838136595,27,45.022,529,0.625954198473282,2.90968859668606,4,,,,,,,,,,
B,28,final,26.1221198156682,26,38,40,50,51,1.44993922222221,True,2.57834101382488,2,7,8,12,14,1.95974666886003,1.894,2.395,2.738,3.085,3.085,False,0.0,33.6866431126815,16,11.4659022731818,6.90163776936992,6.901,9.026,9.429,10.258,27.903,19.7575,0,12.9991333911073,0.415229333333333,5487.09655851685,29,45.003,713,0.655284552845528,13.6657556162922,11,125,177,172,141,27.903,3,5379,35,615,7.96488
B,29,baseline,11.7096774193548,14,20,22,25,28,14.7861494444445,True,1.10829493087558,1,3,4,6,6,1.49236384579943,1.181,1.389,1.805,12.831,12.831,False,0.0,14.0543422718891,10,5.35424673968585,6.90145169712794,6.902,8.06,8.344,8.929,29.877,0.0,0,5.90966652596032,0.41376,5490.55850220844,35,45.011,708,0.686832740213523,6.242918397725,4,,,,,,,,,,
B,29,final,64.2834101382489,49,119,122,133,135,1.55246055555554,True,9.00230414746544,5,22,27,33,36,2.61132620496801,2.421,3.762,3.766,5.093,5.093,False,0.0,38.6967045656425,42,17.5208740451235,6.90103931567691,6.856,11.491,12.736,14.963,19.933,9.8,0,17.3432225972642,0.311180555555544,5335.32666992815,27,45.032,718,0.721164613661814,19.8303428672944,8,112,240,334,207,19.933,3,13560,40,893,12.109376
C,18,baseline,6.27482678983834,6,10,11,13,15,8.72158318518519,True,0.387990762124711,0,1,2,3,5,4.19970221948215,1.097,1.349,1.388,114.896,114.896,False,0.0,5.34840259855833,0,2.35828067989677,6.92472148581999,6.898,7.763,7.971,8.644,120.979,0.0,0,2.58075998932099,0.103439153439153,6149.2690372467,24,44.948,769,0.614754098360656,2.71424757497553,2,,,,,,,,,,
C,18,final,3.53348729792148,2,8,10,11,12,29.4281538888889,True,0.508083140877598,0,2,2,4,5,1.09886870681146,1.059,1.325,1.588,2.051,2.051,False,0.0,6.28989568737349,0,2.93587776072596,6.8999272787101,6.902,7.613,7.768,8.534,10.046,0.0,0,3.09156824803719,6.006416,5249.15057075024,25,44.961,630,0.618705035971223,3.09156824803719,4,19,28,51,41,132.812,0,1036,0,139,0.624079555555556
C,21,baseline,3.85747126436782,3,8,11,13,14,29.397648,True,0.48735632183908,0,2,3,4,5,1.62815740171998,1.152,1.473,2.939,15.306,15.306,False,0.0,14.0286970814269,0,2.88747723335258,6.90000675675677,6.898,7.693,7.872,8.58,13.462,0.0,0,3.30949313668873,0.62064,6106.06384849548,24,45.022,747,0.613333333333333,3.33170450002221,6,,,,,,,,,,
C,21,final,5.98850574712644,5,11,13,15,17,16.5577320000001,True,1.0367816091954,1,3,4,6,7,1.12928146076663,1.11,1.406,1.515,1.729,1.729,False,0.0,19.2350406467949,0,3.95362267335969,6.90012074354337,6.899,7.755,7.917,8.652,9.342,0.0,0,4.6643863000311,0.62064,6080.87711645663,26,45.022,758,0.644859813084112,4.75323175336502,8,41,27,75,71,13.432,1,1475,19,214,0.625
C,24,baseline,8.16359447004608,8,17,19,22,25,14.391952,True,0.983870967741936,0,3,4,5,7,1.41712607493861,1.088,1.328,1.415,13.504,13.504,False,0.0,9.81720453990181,0,3.95353485996046,6.9003978808354,6.897,7.867,8.092,8.812,13.526,0.0,0,4.4199631299558,0.41376,6152.17357301433,22,45.023,745,0.682242990654206,4.75312617995247,4,,,,,,,,,,
C,24,final,18.7304147465438,18,28,30,37,39,1.035879,True,1.7073732718894,1,5,7,9,12,1.26972224971137,1.216,1.498,1.58,2.945,2.945,False,0.0,14.46971042814,0,6.12897495114585,6.91821540491504,6.902,8.382,8.803,12.057,19.024,0.0,0,6.7507550186534,0.104166666666667,6148.28595254896,25,45.032,770,0.7217125382263,7.26150293124889,7,46,71,141,69,19.024,1,4069,23,327,0.625
C,26,baseline,4.29953917050691,4,7,8,9,10,26.5897191111111,True,0.410138248847926,0,1,2,3,4,1.49336373407034,1.028,1.283,2.18,13.211,13.211,False,0.0,7.32514492592674,0,3.39826310996602,6.90019591586059,6.896,7.733,7.932,8.677,13.467,0.0,0,3.77584789996224,0.310516444444444,6129.49281215668,30,45.023,764,0.626436781609195,3.86469137996135,1,,,,,,,,,,
C,26,final,12.8896551724138,13,18,20,23,25,1.8505206969697,True,1.01379310344828,1,3,3,6,9,1.43303541287437,1.386,1.815,2.018,2.408,2.408,False,0.0,13.0666903946256,0,5.87266984028118,6.94074201555518,6.893,8.401,8.947,15.002,16.984,0.0,0,6.74022333941362,0.305940000000004,6110.75933694839,32,44.954,765,0.659305993690852,7.05165280064065,5,37,61,137,82,23.531,1,3045,26,317,0.625
C,27,baseline,4.38940092165899,3,9,10,12,13,27.5340364444444,True,0.65668202764977,0,2,3,5,5,1.49887684275184,1.089,1.351,1.412,13.511,13.511,False,0.0,9.39519800990604,0,2.93183483997068,6.90009643734643,6.896,7.74,7.923,8.594,13.126,0.0,0,3.39826310996602,0.41376,6102.21589223738,23,45.023,757,0.619354838709677,3.44268484996557,1,,,,,,,,,,
C,27,final,17.0276497695853,17,25,30,33,34,1.86192,True,2.2741935483871,2,5,6,8,9,1.60903142481077,1.57,2.025,2.118,2.478,2.478,False,0.0,29.9580214557005,0,10.3724762898963,6.89987446528463,6.902,8.569,8.931,9.701,11.243,0.0,0,12.0827132798792,0.41376,6049.50639855955,30,45.023,761,0.692857142857143,12.4380871998756,4,86,99,227,148,13.522,2,4116,34,560,0.625
C,28,baseline,2.57241379310345,3,5,6,10,12,38.5003263333332,True,0.498850574712644,0,2,2,4,6,1.58147827422081,1.005,1.338,7.849,20.562,20.562,False,0.0,8.16027363791839,0,2.48761743997512,6.9000293259635,6.899,7.523,7.66,8.278,14.371,0.875,0,2.88741309997113,10.661216,4601.20381784439,26,45.023,581,0.630769230769231,2.88741309997113,2,,,,,,,,,,
C,28,final,30.8571428571429,32,47,51,55,56,1.862356,True,2.61059907834101,2,6,8,12,14,1.88543788053307,1.9,2.374,2.469,2.72,2.72,False,0.0,35.0617613080958,11,11.9523682573536,6.90132631232515,6.899,9.4,9.856,10.769,28.613,10.815,0,13.6408068959389,0.414196,6057.06504053576,32,45.012,761,0.686363636363636,14.6627565982405,6,97,125,245,193,28.613,3,6507,37,660,3.20664
C,29,baseline,9.46543778801843,7,17,18,20,20,8.48580544444446,True,1.17741935483871,1,3,5,7,9,1.47114529258177,1.097,1.497,1.527,12.953,12.953,False,0.0,12.5158224334347,12,4.5746263685017,6.90124128398097,6.898,7.915,8.217,8.909,28.497,0.0,0,5.26304101618885,0.31032,6126.65475416183,28,45.031,768,0.687242798353909,5.39628256090249,2,,,,,,,,,,
C,29,final,58.016091954023,60,92,95,101,103,1.65504,True,3.46666666666667,3,8,11,13,16,2.2052152023692,2.079,3.184,3.289,3.906,3.906,False,0.0,46.8806218767354,20,17.3459189339256,6.90082741033235,6.89,11.067,11.726,13.137,18.45,0.0,0,20.58856191005,0.41376,6127.51760172844,32,45.025,767,0.721135029354207,22.6985008328706,5,129,214,449,230,18.45,3,12058,43,1022,10.144016
